,Synset('trouble.n.01'),Synset('must.n.01'),Synset('terminus.n.03'),Synset('resolution.n.04'),Synset('computer.n.01'),Synset('science.n.01')
Synset('trouble.n.01'),0,-0.0,0.622354726626253,1.7812696529610095,-0.0,3.0862609105980248
Synset('must.n.01'),-0.0,0,0.7697145670983334,-0.0,0.7697145670983334,-0.0
Synset('terminus.n.03'),0.622354726626253,0.7697145670983334,0,0.622354726626253,2.561044990474273,0.622354726626253
Synset('resolution.n.04'),1.7812696529610095,-0.0,0.622354726626253,0,-0.0,1.7812696529610095
Synset('computer.n.01'),-0.0,0.7697145670983334,2.561044990474273,-0.0,0,-0.0
Synset('science.n.01'),3.0862609105980248,-0.0,0.622354726626253,1.7812696529610095,-0.0,0
